epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1958.41,1.26999,0.9032,1.74346,0.81091,0.81792,0.8854,0.45821,1.65337,0.92604,2.13064,0.000742625,0.000742625,0.000742625
43,2001.66,1.25711,0.88371,1.71872,0.82271,0.75966,0.87635,0.47275,1.59485,0.93839,2.10486,0.00073025,0.00073025,0.00073025
44,2043.88,1.26044,0.87354,1.72998,0.79553,0.75086,0.84458,0.46342,1.58422,1.05127,2.1375,0.000717875,0.000717875,0.000717875
45,2084.63,1.24053,0.87994,1.70868,0.80049,0.82725,0.89941,0.47997,1.57572,0.89631,2.12665,0.0007055,0.0007055,0.0007055
46,2125.89,1.23988,0.8604,1.7133,0.89696,0.79539,0.91594,0.4939,1.56876,0.85009,2.09504,0.000693125,0.000693125,0.000693125
47,2167.82,1.22149,0.83994,1.68934,0.86549,0.833,0.90392,0.48538,1.61857,0.88494,2.13022,0.00068075,0.00068075,0.00068075
48,2209.28,1.22491,0.85878,1.67989,0.87065,0.80681,0.90742,0.49662,1.56047,0.87546,2.09465,0.000668375,0.000668375,0.000668375
49,2251.32,1.23962,0.85354,1.70589,0.80908,0.83672,0.90935,0.46173,1.64699,0.93089,2.12992,0.000656,0.000656,0.000656
50,2293.88,1.21878,0.82373,1.68109,0.81416,0.8343,0.90086,0.49135,1.58116,0.88006,2.10834,0.000643625,0.000643625,0.000643625
51,2335.04,1.2475,0.83556,1.7075,0.89652,0.77216,0.90384,0.48312,1.61206,0.86285,2.13653,0.00063125,0.00063125,0.00063125
52,2377.29,1.21518,0.82737,1.67855,0.81137,0.80392,0.87701,0.47984,1.55211,0.89482,2.08684,0.000618875,0.000618875,0.000618875
53,2418.2,1.19245,0.81301,1.6568,0.90646,0.78811,0.9023,0.5063,1.5335,0.83481,2.05029,0.0006065,0.0006065,0.0006065
54,2459,1.20877,0.82487,1.66424,0.87906,0.78136,0.89594,0.48439,1.58359,0.85125,2.13202,0.000594125,0.000594125,0.000594125
55,2499.98,1.18445,0.78316,1.63839,0.8162,0.86965,0.90272,0.50603,1.54746,0.85625,2.0678,0.00058175,0.00058175,0.00058175
56,2543.54,1.17545,0.78373,1.65033,0.85503,0.82234,0.90667,0.51364,1.5423,0.80796,2.04621,0.000569375,0.000569375,0.000569375
57,2585.89,1.19459,0.78983,1.6554,0.8837,0.82717,0.90447,0.46221,1.66119,0.8589,2.17003,0.000557,0.000557,0.000557
58,2627.56,1.20077,0.80904,1.65809,0.81726,0.86153,0.90093,0.48424,1.60854,0.84381,2.11997,0.000544625,0.000544625,0.000544625
59,2667.51,1.18142,0.77315,1.64378,0.83846,0.85882,0.90715,0.48447,1.63535,0.83246,2.15585,0.00053225,0.00053225,0.00053225
60,2708.47,1.18114,0.76992,1.6391,0.84942,0.8318,0.90669,0.50101,1.56858,0.79736,2.05758,0.000519875,0.000519875,0.000519875
61,2751.4,1.19578,0.77683,1.65206,0.82674,0.85288,0.90044,0.49808,1.57796,0.83189,2.09648,0.0005075,0.0005075,0.0005075
62,2792.31,1.18795,0.7701,1.64633,0.84814,0.82414,0.90359,0.49016,1.58223,0.83403,2.09736,0.000495125,0.000495125,0.000495125
63,2834.73,1.18279,0.77189,1.6529,0.83157,0.82451,0.87824,0.48905,1.55588,0.84193,2.08252,0.00048275,0.00048275,0.00048275
64,2876.07,1.17845,0.77644,1.63975,0.82007,0.89344,0.91725,0.51293,1.51633,0.78585,2.02349,0.000470375,0.000470375,0.000470375
65,2916.45,1.15844,0.7467,1.61838,0.83657,0.86235,0.90817,0.48762,1.60304,0.81292,2.1114,0.000458,0.000458,0.000458
66,2959.73,1.17059,0.7435,1.62977,0.81213,0.83813,0.88806,0.48151,1.5883,0.83639,2.10044,0.000445625,0.000445625,0.000445625
67,2999.94,1.17546,0.73387,1.61852,0.8252,0.8558,0.90924,0.50283,1.55146,0.81326,2.06155,0.00043325,0.00043325,0.00043325
68,3041.8,1.14517,0.73954,1.59645,0.81107,0.8276,0.8929,0.47612,1.6008,0.90471,2.08708,0.000420875,0.000420875,0.000420875
69,3082.24,1.15816,0.73627,1.60677,0.84637,0.85199,0.91632,0.50275,1.55263,0.78343,2.04684,0.0004085,0.0004085,0.0004085
70,3124.38,1.1334,0.71291,1.60502,0.85308,0.82777,0.91549,0.4982,1.5895,0.81315,2.09236,0.000396125,0.000396125,0.000396125
71,3166.66,1.1501,0.72716,1.59919,0.84135,0.85558,0.91193,0.50704,1.53385,0.78623,2.04506,0.00038375,0.00038375,0.00038375
